aaa	28.1	0.7
aaa	20.3	20.2
aaa	15.8	7.7
aaa	36.3	22.2
aaa	31.3	11.3
aaa	45.4	2.7
aaa	41.3	3.7
aaa	26.9	16.4
aaa	32.4	22.1
aaa	42.4	18.8
aaa	43.3	2.9
aaa	35.3	6.8
aaa	23.2	21.0
aaa	48.6	0.7
aaa	42.5	0.3
aaa	8.5	3.7
aaa	6.8	2.5
aaa	14.2	6.1
aaa	37.1	22.4
aaa	33.9	29.7
aaa	39.7	25.4
aaa	20.2	7.8
aaa	31.7	23.1
aaa	29.2	14.9
aaa	29.9	26.9
aaa	44.9	28.4
aaa	18.9	7.3
aaa	30.1	4.4
aaa	41.1	14.4
aaa	11.7	3.4
aaa	24.8	1.7
aaa	3.6	0.3
aaa	39.5	25.4
aaa	40.3	22.5
aaa	46.3	2.6
aaa	22.0	18.6
aaa	38.3	23.4
aaa	43.1	29.5
aaa	13.2	5.5
aaa	22.0	11.0
aaa	39.2	13.8
aaa	47.5	19.6
aaa	37.6	11.1
aaa	19.4	11.9
aaa	47.9	23.9
aaa	14.5	5.7
aaa	47.8	11.5
aaa	31.4	26.5
aaa	24.4	3.9
aaa	16.6	2.9
aaa	41.4	9.9
aaa	28.3	27.5
aaa	48.8	24.6
aaa	9.1	7.4
aaa	5.4	0.6
aaa	18.8	12.0
aaa	12.0	10.8
aaa	9.3	4.2
aaa	37.6	5.8
aaa	49.4	13.7
aaa	17.4	3.7
aaa	27.3	21.1
aaa	27.3	19.3
aaa	23.4	23.0
aaa	6.0	0.0
aaa	25.7	17.0
aaa	40.5	29.5
aaa	41.5	25.0
aaa	2.3	0.0
aaa	43.9	10.9
aaa	28.2	13.3
aaa	46.3	20.8
aaa	37.7	8.1
aaa	46.2	6.4
aaa	36.7	5.8
aaa	49.2	20.3
aaa	34.6	27.3
aaa	28.6	21.5
aaa	43.5	27.0
aaa	3.8	2.6
aaa	10.9	0.5
aaa	45.3	19.6
aaa	46.0	4.7
aaa	22.0	1.7
aaa	43.7	2.3
aaa	22.1	18.3
aaa	29.5	28.6
aaa	42.6	11.3
aaa	17.0	9.5
aaa	32.8	9.7
aaa	43.4	6.6
aaa	20.7	9.3
aaa	23.5	7.7
aaa	33.0	18.4
aaa	10.9	7.2
aaa	37.0	5.8
aaa	38.8	8.4
aaa	23.6	5.1
aaa	49.2	1.5
aaa	27.3	19.5
aaa	40.0	29.6
aaa	34.3	18.8
aaa	34.4	9.8
aaa	42.6	11.5
aaa	39.2	10.5
aaa	41.5	23.1
aaa	25.3	0.5
aaa	14.6	13.0
aaa	2.1	0.0
aaa	32.9	10.3
aaa	25.7	23.7
aaa	46.7	24.4
aaa	37.3	1.4
aaa	26.8	4.7
aaa	42.3	14.7
aaa	41.3	6.3
aaa	34.9	21.7
aaa	22.8	1.3
aaa	46.4	27.9
aaa	22.8	1.8
aaa	38.9	18.5
aaa	29.7	4.2
aaa	17.1	10.4
aaa	22.6	5.0
aaa	10.2	7.8
aaa	23.2	5.5
aaa	32.7	7.2
aaa	41.4	5.7
aaa	42.2	4.0
aaa	33.0	1.4
aaa	36.6	3.9
aaa	33.9	11.8
aaa	11.5	4.6
aaa	37.5	25.5
aaa	43.1	18.0
aaa	46.0	15.5
aaa	32.4	6.7
aaa	34.2	25.9
aaa	47.6	13.2
aaa	26.1	19.5
aaa	37.2	13.9
aaa	45.7	0.2
aaa	21.9	2.4
aaa	7.7	3.3
aaa	43.3	27.9
aaa	43.4	29.9
aaa	26.2	13.5
aaa	35.4	22.8
aaa	17.8	6.9
aaa	7.1	6.2
aaa	11.4	10.1
aaa	20.7	18.5
aaa	38.8	24.3
aaa	36.3	5.4
aaa	40.2	22.6
aaa	38.9	17.3
